delta_deg,E_year_kWh
-24.0,487.46908208299914
-22.0,491.89498969948676
-20.0,496.2663680546381
-18.0,500.52835714147403
-16.0,504.65539410697556
-14.0,508.7264103774975
-12.0,512.6604154279723
-10.0,516.5117716144168
-8.0,520.545954044121
-6.0,524.693928199007
-4.0,528.6982474184664
-2.0,532.2543991851923
0.0,535.3363180466787
2.0,537.9517370361033
4.0,540.1573807695944
6.0,541.9797880275538
8.0,543.4282496551464
10.0,544.5162518498222
12.0,545.2953735299316
14.0,545.7743044937639
16.0,545.9545676853091
18.0,545.879000182499
20.0,545.5836092674786
22.0,545.0546448443067
24.0,544.3317287805997
