local_date,bin,season,r_median,wind_median,Ta_median,ghi_day_MJm2
2024-04-21,B2: Clear / High-wind / Hot,Autumn (MAM),0.8370616195573792,8.15,33.75,18.877572
2024-10-06,B2: Clear / High-wind / Hot,Spring (SON),0.8093928243965754,7.63,29.8,22.907124
2024-03-11,B3: Mixed / Low-wind / Hot,Autumn (MAM),0.7377340809893914,2.3,39.68,26.89326
2024-11-29,B3: Mixed / Low-wind / Hot,Spring (SON),0.7291522423116362,2.46,31.11,33.981552
2024-12-24,B3: Mixed / Low-wind / Hot,Summer (DJF),0.7097767786019011,2.68,35.09,33.4431
2024-08-18,B3: Mixed / Low-wind / Hot,Winter (JJA),0.7345039762432051,2.99,25.075000000000003,19.281816
2024-03-05,B4: Mixed / High-wind / Cool,Autumn (MAM),0.7549684983823494,3.47,24.9,27.288756
2024-11-05,B4: Mixed / High-wind / Cool,Spring (SON),0.7281621601482736,7.835,22.35,32.073299999999996
2024-02-16,B4: Mixed / High-wind / Cool,Summer (DJF),0.68001029791693,4.9350000000000005,23.625,30.148379999999996
2024-08-29,B4: Mixed / High-wind / Cool,Winter (JJA),0.6833863998180577,5.26,16.46,22.12218
