site,date,theta_star_deg,gain_kWh,pct_gain,frac_morn,frac_mid,frac_eve,dTc_prod_C
NC,2024-01-04,9.0,0.011465990965308459,0.6428874115311433,-0.32,-0.19,1.51,0.1727633823316772
NC,2024-01-21,11.0,0.01643862256107049,0.8791369310739199,-0.35,-0.22,1.57,0.2709006660742883
NC,2024-02-16,19.0,0.04891245590972665,2.2802188692059864,-0.23,-0.26,1.48,0.7354127820935652
NC,2024-03-09,9.0,0.010234632991631396,0.6012728047228623,-0.15,-0.19,1.34,0.10231459573924795
NC,2024-03-12,11.0,0.011433550985509775,0.7506978639778324,-0.27,-0.23,1.5,0.15284544801619582
NC,2024-03-21,5.0,0.0016602469007309655,0.1545404622471486,-1.15,-0.48,2.62,0.08073184910747422
NC,2024-03-29,17.0,0.029835806765526364,1.837098735846795,-0.24,-0.27,1.51,0.23042703441319645
NC,2024-08-29,23.0,0.06078108783702503,3.336528705954619,-0.19,-0.31,1.5,0.17930888363261013
NC,2024-10-11,12.0,0.017185095135000297,1.0280086764187772,-0.29,-0.23,1.52,0.10873320071743997
NC,2024-10-18,12.0,0.019442390808807258,0.9549361014586264,-0.3,-0.24,1.54,0.12953683438375485
NC,2024-11-30,21.0,0.0646840909683882,3.159230718088061,-0.17,-0.17,1.34,0.6566536352221171
NC,2024-12-17,18.0,0.03686546402583517,1.696277434210674,-0.24,-0.24,1.49,0.2432746904032843
WC,2024-01-30,10.0,0.013672954081298608,0.7247745437205294,-0.31,-0.2,1.51,0.2047802438063986
WC,2024-02-03,11.0,0.011936882037678977,0.7413648086759116,-0.45,-0.24,1.68,0.18673537123119743
WC,2024-03-02,22.0,0.09495076025589108,4.648210409167082,-0.13,-0.19,1.33,0.055392246998275496
WC,2024-03-21,9.0,0.009175454470558626,0.5941347551825579,-0.35,-0.26,1.61,0.10276570825417745
WC,2024-04-27,8.0,0.003208488034383233,0.3159160096672686,-1.05,-0.61,2.66,-0.270579013338408
WC,2024-08-30,19.0,0.04609234563753534,2.891058829119685,-0.19,-0.27,1.46,0.3435679600071353
WC,2024-10-23,5.0,0.004689020102943499,0.2461993287963129,-0.34,-0.15,1.49,0.035969727108579264
WC,2024-11-29,15.0,0.026322867713581086,1.159108547599603,-0.38,-0.25,1.63,0.28055913465451177
WC,2024-12-09,10.0,0.01684622660862127,0.733169984635074,-0.3,-0.19,1.49,0.1078760145508415
