month,month_name,dominant_bin,scheduled_gain_pct,default_angle_deg,default_only_gain_pct
1,January,mostly_clear,1.3537548925229177,12.0,1.32798141398584
2,February,clear,1.4925907534131118,14.0,1.4843816374451333
3,March,clear,1.5062633421039773,14.0,1.493839425184688
4,April,clear,1.511351557043032,14.0,1.5005052306131617
5,May,clear,1.6870470268671773,14.0,1.6860952453056728
6,June,clear,1.6324135376991322,14.0,1.6304207450547317
7,July,clear,1.738312406680292,14.0,1.738312406680292
8,August,clear,1.6870470268671773,14.0,1.6860952453056728
9,September,clear,1.6603281806737193,14.0,1.6534488306430737
10,October,clear,1.56857715509611,14.0,1.560903416256478
11,November,clear,1.498415597317564,14.0,1.4855764782432932
12,December,clear,1.4324441494909044,14.0,1.4199817596699515
