site,date,bin,season,offset_opt_deg,E_perp_kWh,E_opt_kWh,delta_kWh,delta_pct
NC,2024-01-04,B1: Clear / Low-wind / Hot,Summer (DJF),9.0,1.7835146185239732,1.7949806094892815,0.0114659909653083,0.6428874115311433
NC,2024-01-21,B3: Mixed / Low-wind / Hot,Summer (DJF),11.0,1.8698591743824973,1.886297796943568,0.0164386225610704,0.8791369310739199
NC,2024-02-16,B4: Mixed / High-wind / Cool,Summer (DJF),19.0,2.14507723667593,2.1939896925856575,0.048912455909726926,2.2802188692059864
NC,2024-03-09,B2: Clear / High-wind / Hot,Autumn (MAM),9.0,1.702161300368191,1.712395933359822,0.0102346329916309,0.6012728047228623
NC,2024-03-12,B1: Clear / Low-wind / Hot,Autumn (MAM),11.0,1.52305628324624,1.5344898342317497,0.0114335509855096,0.7506978639778324
NC,2024-03-21,B3: Mixed / Low-wind / Hot,Autumn (MAM),5.0,1.074312109973889,1.0759723568746198,0.0016602469007307,0.1545404622471486
NC,2024-03-29,B4: Mixed / High-wind / Cool,Autumn (MAM),17.0,1.624072031804751,1.6539078385702775,0.02983580676552644,1.837098735846795
NC,2024-08-29,B4: Mixed / High-wind / Cool,Winter (JJA),23.0,1.821686345109236,1.882467432946261,0.06078108783702518,3.336528705954619
NC,2024-10-11,B1: Clear / Low-wind / Hot,Spring (SON),12.0,1.671687752176099,1.6888728473110997,0.0171850951350003,1.0280086764187772
NC,2024-10-18,B4: Mixed / High-wind / Cool,Spring (SON),12.0,2.035988667630201,2.0554310584390083,0.0194423908088072,0.9549361014586264
NC,2024-11-30,B2: Clear / High-wind / Hot,Spring (SON),21.0,2.0474633459988127,2.112147436967201,0.06468409096838812,3.1592307180880606
NC,2024-12-17,B2: Clear / High-wind / Hot,Summer (DJF),18.0,2.173315713711052,2.2101811777368874,0.03686546402583524,1.6962774342106741
WC,2024-01-30,B3: Mixed / Low-wind / Hot,Summer (DJF),10.0,1.886511357188509,1.900184311269808,0.0136729540812989,0.7247745437205294
WC,2024-02-03,B1: Clear / Low-wind / Hot,Summer (DJF),11.0,1.6101225601736493,1.6220594422113284,0.011936882037679,0.7413648086759116
WC,2024-03-02,B4: Mixed / High-wind / Cool,Autumn (MAM),22.0,2.042737998018152,2.137688758274043,0.094950760255891,4.648210409167082
WC,2024-03-21,B3: Mixed / Low-wind / Hot,Autumn (MAM),9.0,1.54433895518187,1.5535144096524287,0.0091754544705586,0.5941347551825579
WC,2024-04-27,B2: Clear / High-wind / Hot,Autumn (MAM),8.0,1.015614257018097,1.0188227450524805,0.0032084880343834,0.3159160096672686
WC,2024-08-30,B4: Mixed / High-wind / Cool,Winter (JJA),19.0,1.5943067354174327,1.6403990810549682,0.0460923456375355,2.891058829119685
WC,2024-10-23,B3: Mixed / Low-wind / Hot,Spring (SON),5.0,1.9045625046453225,1.909251524748265,0.004689020102943,0.2461993287963129
WC,2024-11-29,B4: Mixed / High-wind / Cool,Spring (SON),15.0,2.270957950236236,2.2972808179498165,0.026322867713580944,1.159108547599603
WC,2024-12-09,B4: Mixed / High-wind / Cool,Summer (DJF),10.0,2.297724533418521,2.314570760027142,0.0168462266086208,0.733169984635074
