site,date_local
WC,2024-01-01
WC,2024-01-02
WC,2024-01-03
WC,2024-01-04
WC,2024-01-05
WC,2024-01-06
WC,2024-01-07
WC,2024-01-08
WC,2024-01-09
WC,2024-01-10
WC,2024-01-11
WC,2024-01-12
WC,2024-01-13
WC,2024-01-14
WC,2024-01-15
WC,2024-01-16
WC,2024-01-17
WC,2024-01-18
WC,2024-01-19
WC,2024-01-20
WC,2024-01-21
WC,2024-01-22
WC,2024-01-23
WC,2024-01-24
WC,2024-01-25
WC,2024-01-26
WC,2024-01-27
WC,2024-01-28
WC,2024-01-29
WC,2024-01-30
WC,2024-01-31
WC,2024-02-01
WC,2024-02-02
WC,2024-02-03
WC,2024-02-04
WC,2024-02-05
WC,2024-02-06
WC,2024-02-07
WC,2024-02-08
WC,2024-02-09
WC,2024-02-10
WC,2024-02-11
WC,2024-02-12
WC,2024-02-13
WC,2024-02-14
WC,2024-02-15
WC,2024-02-16
WC,2024-02-17
WC,2024-02-18
WC,2024-02-19
WC,2024-02-20
WC,2024-02-21
WC,2024-02-22
WC,2024-02-23
WC,2024-02-24
WC,2024-02-25
WC,2024-02-26
WC,2024-02-27
WC,2024-02-28
WC,2024-02-29
WC,2024-03-01
WC,2024-03-02
WC,2024-03-03
WC,2024-03-04
WC,2024-03-05
WC,2024-03-06
WC,2024-03-07
WC,2024-03-08
WC,2024-03-09
WC,2024-03-10
WC,2024-03-11
WC,2024-03-12
WC,2024-03-13
WC,2024-03-14
WC,2024-03-15
WC,2024-03-16
WC,2024-03-17
WC,2024-03-18
WC,2024-03-19
WC,2024-03-20
WC,2024-03-21
WC,2024-03-22
WC,2024-03-23
WC,2024-03-24
WC,2024-03-25
WC,2024-03-26
WC,2024-03-27
WC,2024-03-28
WC,2024-03-29
WC,2024-03-30
WC,2024-03-31
WC,2024-04-01
WC,2024-04-02
WC,2024-04-03
WC,2024-04-04
WC,2024-04-05
WC,2024-04-06
WC,2024-04-07
WC,2024-04-08
WC,2024-04-09
WC,2024-04-10
WC,2024-04-11
WC,2024-04-12
WC,2024-04-13
WC,2024-04-14
WC,2024-04-15
WC,2024-04-16
WC,2024-04-17
WC,2024-04-18
WC,2024-04-19
WC,2024-04-20
WC,2024-04-21
WC,2024-04-22
WC,2024-04-23
WC,2024-04-24
WC,2024-04-25
WC,2024-04-26
WC,2024-04-27
WC,2024-04-28
WC,2024-04-29
WC,2024-04-30
WC,2024-05-01
WC,2024-05-02
WC,2024-05-03
WC,2024-05-04
WC,2024-05-05
WC,2024-05-06
WC,2024-05-07
WC,2024-05-08
WC,2024-05-09
WC,2024-05-10
WC,2024-05-11
WC,2024-05-12
WC,2024-05-13
WC,2024-05-14
WC,2024-05-15
WC,2024-05-16
WC,2024-05-17
WC,2024-05-18
WC,2024-05-19
WC,2024-05-20
WC,2024-05-21
WC,2024-05-22
WC,2024-05-23
WC,2024-05-24
WC,2024-05-25
WC,2024-05-26
WC,2024-05-27
WC,2024-05-28
WC,2024-05-29
WC,2024-05-30
WC,2024-05-31
WC,2024-06-01
WC,2024-06-02
WC,2024-06-03
WC,2024-06-04
WC,2024-06-05
WC,2024-06-06
WC,2024-06-07
WC,2024-06-08
WC,2024-06-09
WC,2024-06-10
WC,2024-06-11
WC,2024-06-12
WC,2024-06-13
WC,2024-06-14
WC,2024-06-15
WC,2024-06-16
WC,2024-06-17
WC,2024-06-18
WC,2024-06-19
WC,2024-06-20
WC,2024-06-21
WC,2024-06-22
WC,2024-06-23
WC,2024-06-24
WC,2024-06-25
WC,2024-06-26
WC,2024-06-27
WC,2024-06-28
WC,2024-06-29
WC,2024-06-30
WC,2024-07-01
WC,2024-07-02
WC,2024-07-03
WC,2024-07-04
WC,2024-07-05
WC,2024-07-06
WC,2024-07-07
WC,2024-07-08
WC,2024-07-09
WC,2024-07-10
WC,2024-07-11
WC,2024-07-12
WC,2024-07-13
WC,2024-07-14
WC,2024-07-15
WC,2024-07-16
WC,2024-07-17
WC,2024-07-18
WC,2024-07-19
WC,2024-07-20
WC,2024-07-21
WC,2024-07-22
WC,2024-07-23
WC,2024-07-24
WC,2024-07-25
WC,2024-07-26
WC,2024-07-27
WC,2024-07-28
WC,2024-07-29
WC,2024-07-30
WC,2024-07-31
WC,2024-08-01
WC,2024-08-02
WC,2024-08-03
WC,2024-08-04
WC,2024-08-05
WC,2024-08-06
WC,2024-08-07
WC,2024-08-08
WC,2024-08-09
WC,2024-08-10
WC,2024-08-11
WC,2024-08-12
WC,2024-08-13
WC,2024-08-14
WC,2024-08-15
WC,2024-08-16
WC,2024-08-17
WC,2024-08-18
WC,2024-08-19
WC,2024-08-20
WC,2024-08-21
WC,2024-08-22
WC,2024-08-23
WC,2024-08-24
WC,2024-08-25
WC,2024-08-26
WC,2024-08-27
WC,2024-08-28
WC,2024-08-29
WC,2024-08-30
WC,2024-08-31
WC,2024-09-01
WC,2024-09-02
WC,2024-09-03
WC,2024-09-04
WC,2024-09-05
WC,2024-09-06
WC,2024-09-07
WC,2024-09-08
WC,2024-09-09
WC,2024-09-10
WC,2024-09-11
WC,2024-09-12
WC,2024-09-13
WC,2024-09-14
WC,2024-09-15
WC,2024-09-16
WC,2024-09-17
WC,2024-09-18
WC,2024-09-19
WC,2024-09-20
WC,2024-09-21
WC,2024-09-22
WC,2024-09-23
WC,2024-09-24
WC,2024-09-25
WC,2024-09-26
WC,2024-09-27
WC,2024-09-28
WC,2024-09-29
WC,2024-09-30
WC,2024-10-01
WC,2024-10-02
WC,2024-10-03
WC,2024-10-04
WC,2024-10-05
WC,2024-10-06
WC,2024-10-07
WC,2024-10-08
WC,2024-10-09
WC,2024-10-10
WC,2024-10-11
WC,2024-10-12
WC,2024-10-13
WC,2024-10-14
WC,2024-10-15
WC,2024-10-16
WC,2024-10-17
WC,2024-10-18
WC,2024-10-19
WC,2024-10-20
WC,2024-10-21
WC,2024-10-22
WC,2024-10-23
WC,2024-10-24
WC,2024-10-25
WC,2024-10-26
WC,2024-10-27
WC,2024-10-28
WC,2024-10-29
WC,2024-10-30
WC,2024-10-31
WC,2024-11-01
WC,2024-11-02
WC,2024-11-03
WC,2024-11-04
WC,2024-11-05
WC,2024-11-06
WC,2024-11-07
WC,2024-11-08
WC,2024-11-09
WC,2024-11-10
WC,2024-11-11
WC,2024-11-12
WC,2024-11-13
WC,2024-11-14
WC,2024-11-15
WC,2024-11-16
WC,2024-11-17
WC,2024-11-18
WC,2024-11-19
WC,2024-11-20
WC,2024-11-21
WC,2024-11-22
WC,2024-11-23
WC,2024-11-24
WC,2024-11-25
WC,2024-11-26
WC,2024-11-27
WC,2024-11-28
WC,2024-11-29
WC,2024-11-30
WC,2024-12-01
WC,2024-12-02
WC,2024-12-03
WC,2024-12-04
WC,2024-12-05
WC,2024-12-06
WC,2024-12-07
WC,2024-12-08
WC,2024-12-09
WC,2024-12-10
WC,2024-12-11
WC,2024-12-12
WC,2024-12-13
WC,2024-12-14
WC,2024-12-15
WC,2024-12-16
WC,2024-12-17
WC,2024-12-18
WC,2024-12-19
WC,2024-12-20
WC,2024-12-21
WC,2024-12-22
WC,2024-12-23
WC,2024-12-24
WC,2024-12-25
WC,2024-12-26
WC,2024-12-27
WC,2024-12-28
WC,2024-12-29
WC,2024-12-30
WC,2024-12-31
WC,2025-01-01
